UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
911	THE TURNIP	turnip	8.99952	the turnip	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:navet_(941734)		turnip	nabo		-	-	-	-
897	THE ONION	onion	8.99935	the onion	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:onion_(343780)		onion	cebolla	http://www.omegawiki.org/DefinedMeaning:Zwiebel_(1285266)	-	-	-	-
898	THE ORANGE	orange	8.99936	the orange	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:orange_(5821)		orange	naranja		-	-	-	-
899	THE PEA	pea	8.99937	the pea	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:pea_(726623)		pea	guisante, arveja		-	-	-	-
900	THE PEAR	pear	8.99938	the pear	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:pear_(393831)		pear	pera		-	-	-	-
901	THE PINEAPPLE	pineapple	8.99939	the pineapple	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:pineapple_(984034)		pineapple	piña		-	-	-	-
902	THE PLUM	plum	8.99941	the plum	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:prune_(941830)		plum	ciruela		-	-	-	-
903	THE REED	reed	8.99943	the reed	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:reed_(3137)		reed	junco, totora		-	-	-	-
904	THE RUBBER TREE	rubber tree	8.99944	the rubber tree	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:rubber_tree_(1510916)		rubber tree	árbol del caucho		-	-	-	-
913	THE WATERMELON	watermelon	8.99954	the watermelon	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:sand%C3%ADa_(458943)		watermelon	sandía		-	-	-	-
917	THE WOODY SHRUB	woody shrub	8.99958	the woody shrub	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:shrub_(3414)		woody shrub	arbusto leñoso		-	-	-	-
906	THE STRAW	straw	8.99946	the straw	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:straw_(1510919)		straw	paja		-	-	-	-
907	THE SUGAR BEET	sugar beet	8.99947	the sugar beet	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:sugar_beet_(1319542)		sugar beet	remolacha azucarera		-	-	-	-
908	THE TAR	tar	8.99948	the tar	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:tar_(3708)		tar	alquitrán		-	-	-	-
909	THE TARO	taro	8.99949	the taro	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:taro_(1510923)		taro	-		-	-	-	-
912	THE VETCH	vetch	8.99953	the vetch	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:vetch_(1510927)		vetch	arveja, veza		-	-	-	-
914	THE WHIP	whip	8.99955	the whip	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:whip_(440217)		whip	l´tigo, chicote, fuete		-	-	-	-
916	THE WILLOW	willow	8.99957	the willow	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:willow_(352435)		willow	sauce		-	-	-	-
918	THE YERBA MATE	yerba mate	8.99959	the yerba mate	Noun	Agriculture and vegetation	http://www.omegawiki.org/DefinedMeaning:yerba_mate_(802681)		yerba mate	yerba mate		-	-	-	-
871	THE ANDEAN WEED	Andean weed	8.99904	the Andean weed	Noun	Agriculture and vegetation	NA		Andean weed	-		-	-	-	-
874	THE BLACK TREE DYE	black tree dye	8.99907	the black tree dye	Noun	Agriculture and vegetation	NA		black tree dye	-		-	-	-	-
879	THE CHINESE RICE FLOWER	Chinese rice flower	8.99912	the Chinese rice flower	Noun	Agriculture and vegetation	NA		Chinese rice flower	-		-	-	-	-
883	THE MORTIÑO	mortiño	8.99917	the mortiño	Noun	Agriculture and vegetation	NA		mortiño	-		-	-	-	-
886	THE JARILLA	jarilla	8.99922	the jarilla	Noun	Agriculture and vegetation	NA		jarilla	-		-	-	-	-
887	THE JOWAR	jowar	8.99923	the jowar	Noun	Agriculture and vegetation	NA		jowar	-		-	-	-	-
892	THE MAMUELCHOIQUE	mamuelchoique	8.99929	the mamuelchoique	Noun	Agriculture and vegetation	NA		mamuelchoique	-		-	-	-	-
896	THE MILLET	millet	8.99933	the millet	Noun	Agriculture and vegetation	NA		millet	mijo		-	-	-	-
905	THE SENSITIVE MIMOSA	sensitive mimosa	8.99945	the sensitive mimosa	Noun	Agriculture and vegetation	NA		sensitive mimosa	mimosa ?		-	-	-	-
910	THE TREE DYE	tree dye	8.9995	the tree dye	Noun	Agriculture and vegetation	NA		tree dye	tinte de árbol		-	-	-	-
915	THE WILD MAIZE	wild maize	8.99956	the wild maize	Noun	Agriculture and vegetation	NA		wild maize	-		-	-	-	-
921	TO RAISE	raise	8.99962	to raise	Verb	Agriculture and vegetation	NA		to raise	cultivar		-	-	-	-
324	THE AGOUTI	agouti	3.99902	the agouti	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:agouti_(1510408)	A burrowing rodent of the genus Dasyprocta, native to tropical America and usually having brown fur streaked with gray	agouti	agouti		agouti	-	Aguti	-
325	THE AMPHIBIAN	amphibian	3.99903	the amphibian	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:amphibian_(162)		amphibian	anfibio/anfibia		amphibien	-	Amphibie	-
328	THE ARMADILLO	armadillo	3.99906	the armadillo	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:armadillo_(817621)		armadillo	armadillo		tatou	-	Gürteltier	-
329	THE BANDICOOT	bandicoot	3.99907	the bandicoot	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:bandicoot_(1510412)		bandicoot	?		-	-	Nasenbeutler	-
330	THE BARN OWL	barn owl	3.99908	the barn owl	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:barn_owl_(1510416)		barn owl	lechuza		effraie	-	Schleiereule	-
331	THE BUSTARD	bustard	3.99909	the bustard	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:bustard_(1510420)		bustard	avutarda		outarde	-	Trappe	-
332	THE CAPIBARA	capibara	3.9991	the capibara	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:capibara_(1510424)	A large semiaquatic rodent (Hydrochoerus hydrochaeris) of tropical South America	capibara	capibara		-	-	Wasserschwein	-
333	THE CATERPILLAR	caterpillar	3.99911	the caterpillar	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:caterpillar_(914040)		caterpillar	oruga		chenille	-	Raupe	-
334	THE CODFISH	codfish	3.99912	the codfish	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:cod_(848799)		codfish	bacalao, abadejo		cabillaud, morue	-	Dorsch	-
335	THE CONDOR	condor	3.99913	the condor	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:condor_(1510432)		condor	condor		condor	-	Kondor	-
355	THE PRAIRIE DOG	prairie dog	3.99937	the prairie dog	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:dlǫ́ǫ́ʼ_(367712)		prairie dog	-		-	-	Präriehund	-
336	THE HERD	herd	3.99917	the herd	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:herd_(1510435)		herd	manada	http://www.omegawiki.org/DefinedMeaning:herd_(1510438)	troupeau	-	Herde	-
337	THE HOCCO	hocco	3.99918	the hocco	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:hocco_(1510442)	the crested curassow, also called royal pheasant	hocco	-		-	-	?	-
339	THE IBIS	ibis	3.9992	the ibis	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:ibis_(1510446)		ibis	ibis		ibis	-	Ibis	-
342	THE KINGFISHER	kingfisher	3.99923	the kingfisher	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:ijsvogel_(654563)		kingfisher	martín pescador		martin-pêcheur	-	Eisvogel	-
341	THE JABIRU	jabiru	3.99922	the jabiru	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:jabiru_(1510450)	k.o. bird	jabiru	jabirú		-	-	Jabiru	-
338	THE HUMMING BIRD	humming bird	3.99919	the humming bird	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:kolibrie_(652702)		humming bird	colibrí		colibri	-	Kolibri	-
340	THE IGUANA	iguana	3.99921	the iguana	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:leguaan_(647456)		iguana	iguana		iguane	-	Leguan	-
343	THE LOUSE	louse	3.99924	the louse	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:louse_(5980)		louse	piojo		pou	-	Laus	-
354	THE POUCHED MARMOT	pouched marmot	3.99936	the pouched marmot	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:marmot_(1048856)		pouched marmot	marmota ?		marmotte	-	Murmeltier	-
347	THE MOLE	mole	3.99929	the mole	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:mol_(8385)	the animal	mole	topo		taupe	-	Maulwurf	-
348	THE PACA	paca	3.9993	the paca	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:paca_(1510460)	A large nocturnal burrowing rodent of the genus Cuniculus, found in South and Central America	paca	tepezcuintle		-	-	Paka	-
350	THE PARTRIDGE	partridge	3.99932	the partridge	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:patrijs_(664663)		partridge	perdiz		perdrix	-	Rebhuhn	-
351	THE PET	pet	3.99933	the pet	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:pet_(2758)		pet	animal doméstico		animal domestique	-	Haustier	-
352	THE PIRANHA	piranha	3.99934	the piranha	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:piranha_(1510464)		piranha	piranha		piranha	-	Piranha	-
353	THE PLOVER	plover	3.99935	the plover	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:plover_(1510468)		plover	chorlito		-	-	Regenpfeifer	-
356	THE ROADRUNNER	roadrunner	3.99938	the roadrunner	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:roadrunner_(1510472)		roadrunner	-		-	-	Rennkuckuck	-
357	THE SKUNK	skunk	3.99939	the skunk	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:skunk_(1255367)		skunk	mofeta		moufette	-	Stinktier	-
358	THE SONGBIRD	songbird	3.9994	the songbird	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:songbird_(3552)		songbird	pájaro cantor		oiseau chanteur	-	Singvogel	-
359	THE SPARROW	sparrow	3.99941	the sparrow	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:sparrow_(7891)		sparrow	gorrión		moineau	-	Spatz	-
362	THE CHIPMUNK	chipmunk	3.99944	the chipmunk	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:tamia_(404160)		chipmunk	ardilla f listada		tamias	-	Streifenhörnchen	-
360	THE TIGER	tiger	3.99942	the tiger	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:tiger_(8437)		tiger	tigre		tigre	-	Tiger	-
361	THE TRUMPETER BIRD	trumpeter bird	3.99943	the trumpeter bird	Noun	Animals	http://www.omegawiki.org/DefinedMeaning:trumpeter_bird_(1510476)		trumpeter bird	-		-	-	Trompetervogel	-
326	THE ANDEAN GUINEA PIG	Andean guinea pig	3.99904	the Andean guinea pig	Noun	Animals	NA	It is raised for food, medicine and ritual in the Andes	Andean guinea pig	?		cochon d'Inde	-	?	-
327	THE ANDEAN OWL	Andean owl	3.99905	the Andean owl	Noun	Animals	NA		Andean owl	búho andino		couchette	-	?	-
344	THE MAINE LOBSTER	Maine lobster	3.99925	the Maine lobster	Noun	Animals	NA		Maine lobster	bogavante de Maine		homard	-	Hummer	-
345	THE MALE PIG	male pig	3.99926	the male pig	Noun	Animals	NA		male pig	cerdo		verrat	-	Eber	-
346	THE MARAIL	marail	3.99928	the marail	Noun	Animals	NA	k.o. bird	marail	-		-	-	?	-
349	THE SLEEPYHEAD BIRD	sleepyhead bird	3.99931	the sleepyhead bird	Noun	Animals	NA		sleepyhead bird	-		-	-	?	-
1022	THE SACK	sack	9.99917	the sack	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:bag_(7726)		sack	-		-	-	-	-
1007	THE BARREL	barrel	9.99901	the barrel	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:barrel_(1501251)		barrel	-		-	-	-	-
1008	THE BASKETRY	basketry	9.99902	the basketry	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:basketry_(1510968)		basketry	-		-	-	-	-
1032	THE WHEELBARROW	wheelbarrow	9.99927	the wheelbarrow	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:brouette_(7914)		wheelbarrow	-		-	-	-	-
1009	THE BUCKET	bucket	9.99903	the bucket	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:bucket_(7811)		bucket	-		-	-	-	-
1010	THE CABLE	cable	9.99904	the cable	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:cable_(467)		cable	-		-	-	-	-
1011	THE CANVAS SHEET	canvas sheet	9.99905	the canvas sheet	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:canvas_(389156)		canvas sheet	-		-	-	-	-
1028	THE CORD	cord	9.99923	the string or cord	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:cord_(690122)		string or cord	-		-	-	-	-
1012	THE CORRUGATED IRON	corrugated iron	9.99906	the corrugated iron	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:corrugated_iron_(1012677)		corrugated iron	-		-	-	-	-
1013	THE DECK	deck	9.99907	the deck	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:deck_(1393199)		deck	-		-	-	-	-
1035	TO DRAW	draw	9.9993	to draw	Verb	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:draw_(339931)		to draw	-	http://www.omegawiki.org/DefinedMeaning:draw_(339936), http://www.omegawiki.org/DefinedMeaning:draw_(339947)	-	-	-	-
1014	THE DRILL	drill	9.99908	the drill	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:drill_(1501234)		drill	-		-	-	-	-
1036	TO DWELL	dwell	9.99931	to dwell	Verb	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:dwell_(1510985)		to dwell	-		-	-	-	-
1015	THE FILE	file	9.99909	the file	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:file_(637005)		file	-		-	-	-	-
1033	THE BARBECUE	barbecue	9.99928	to barbecue	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:grilla_(155842)		to barbecue	-		-	-	-	-
1017	THE HARPOON	harpoon	9.99911	the harpoon	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:harpoon_(358355)		harpoon	-		-	-	-	-
1025	THE SLAP	slap	9.99921	the slap	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:ohrfeigen_(668359)		slap	-		-	-	-	-
1020	THE PENCIL	pencil	9.99915	the pencil	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:pencil_(5835)		pencil	-		-	-	-	-
1039	TO PREPARE	prepare	9.99934	to prepare	Verb	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:prepare_(839207)		to prepare	-	http://www.omegawiki.org/DefinedMeaning:prepare_(839217), http://www.omegawiki.org/DefinedMeaning:train_(1503401)	-	-	-	-
1021	THE RUST	rust	9.99916	the rust	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:rust_(155734)		rust	-		-	-	-	-
1023	THE SCRAPER	scraper	9.99918	the scraper	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:scraper_(1510974)		scraper	-		-	-	-	-
1040	TO SMEAR	smear	9.99936	to smear	Verb	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:smear_(1510989)		to smear	-		-	-	-	-
1026	THE SPUR	spur	9.99922	the spur	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:spur_(1399469)		spur	-		-	-	-	-
1027	THE STRING	string	9.99923	the string or cord	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:string_(1510977)		string or cord	-		-	-	-	-
1041	TO SUPPORT	support	9.99938	to support	Verb	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:sufragar_(475957)		to support	-	http://www.omegawiki.org/DefinedMeaning:support_(476003), http://www.omegawiki.org/DefinedMeaning:appoggio_(477046), http://www.omegawiki.org/DefinedMeaning:substantiate_(717063)	-	-	unterstützen	-
1029	THE TRAIL	trail	9.99924	the trail	Noun	Basic actions and technology	http://www.omegawiki.org/DefinedMeaning:trail_(1510981)		trail	-		-	-	-	-
1016	THE HARBOUR	harbour	9.9991	the harbour	Noun	Basic actions and technology	NA		harbour	-		-	-	-	-
1018	THE HEARTHSTONES	hearthstones	9.99912	the hearthstones	Noun	Basic actions and technology	NA		hearthstones	-		-	-	-	-
1019	THE MANIOC SQUEEZER	manioc squeezer	9.99914	the manioc squeezer	Noun	Basic actions and technology	NA		manioc squeezer	-		-	-	-	-
1024	THE SKIN BAG	skin bag	9.9992	the skin bag	Noun	Basic actions and technology	NA		skin bag	-		-	-	-	-
1030	THE WELL	well	9.99925	the well	Noun	Basic actions and technology	NA		well	-		-	-	-	-
1031	THE WHARF	wharf	9.99926	the wharf	Noun	Basic actions and technology	NA		wharf	-		-	-	-	-
1034	TO CLOSE	close	9.99929	to close	Verb	Basic actions and technology	NA		to close	-		-	-	-	-
1037	TO GO AWAY	go away	9.99932	to go away	Verb	Basic actions and technology	NA		to go away	-		-	-	-	-
1038	TO MUDDLE	muddle	9.99933	to muddle	Verb	Basic actions and technology	NA		to muddle	-		-	-	-	-
719	THE BAG	bag	6.99901	the bag	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:bag_(354587)		bag	bolsa	http://www.omegawiki.org/DefinedMeaning:bag_(7726)	-	-	-	-
726	THE STYLE	style	6.9991	the style or fashion	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:estilo_(494229)		style or fashion	moda, estilo ?		-	-	-	-
727	THE FASHION	fashion	6.9991	the style or fashion	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:fashion_(507088)		style or fashion	moda		-	-	-	-
720	THE FRINGE	fringe	6.99903	the fringe	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:fringe_(1510574)		fringe	flecos		-	-	-	-
722	THE POMPOM	pompom	6.99906	the pompom	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:pom-pom_(158094)		pompom	-		-	-	-	-
723	THE SANDAL	sandal	6.99907	the sandal	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:sandal_(1383890)		sandal	sandalia		-	-	-	-
724	THE SLEEVE	sleeve	6.99908	the sleeve	Noun	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:sleeve_(1414327)		sleeve	manga		-	-	-	-
728	TO WEAR	wear	6.99911	to wear	Verb	Clothing and grooming	http://www.omegawiki.org/DefinedMeaning:wear_(420726)		to wear	llevar		-	-	-	-
721	THE LEG BAND	leg band	6.99904	the leg band	Noun	Clothing and grooming	NA		leg band	-		-	-	-	-
725	THE SMOCK	smock	6.99909	the smock	Noun	Clothing and grooming	NA		smock	bata corta		-	-	-	-
1557	THE POSSIBILITY	possibility	17.99902	the possibility	Noun	Cognition	http://www.omegawiki.org/DefinedMeaning:chance_(334946)		possibility	-		-	-	-	-
1556	ON PURPOSE	on purpose	17.99901	on purpose	Adverb	Cognition	http://www.omegawiki.org/DefinedMeaning:conscious_(441581)		on purpose	-	http://www.omegawiki.org/DefinedMeaning:adrede_(1115125)	-	-	-	-
1559	THE SCARCITY	scarcity	17.99904	the scarcity	Noun	Cognition	http://www.omegawiki.org/DefinedMeaning:dearth_(1025845)		scarcity	-		-	-	-	-
1562	TO DOUBT	doubt	17.99907	to doubt	Verb	Cognition	http://www.omegawiki.org/DefinedMeaning:doubt_(6812)		to doubt	-		-	-	-	-
1560	THE STATE	state	17.99905	the state	Noun	Cognition	http://www.omegawiki.org/DefinedMeaning:estado_(481714)		state	-		-	-	-	-
1558	SAME	same	17.99903	the same	Function word	Cognition	http://www.omegawiki.org/DefinedMeaning:identical_(1407061)		same	-		-	-	-	-
1561	THE STUDY	study	17.99906	the study	Noun	Cognition	http://www.omegawiki.org/DefinedMeaning:study_(8493)		study	-	http://www.omegawiki.org/DefinedMeaning:contemplation_(1001099), http://www.omegawiki.org/DefinedMeaning:study_(8495)	-	-	-	-
1495	TO BE ASHAMED	be ashamed	16.99907	to be ashamed	Verb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:ashamed_(823950)		to be ashamed	-		-	-	-	-
1489	BETTER	better	16.99901	better	Adjective	Emotions and values	http://www.omegawiki.org/DefinedMeaning:better_(333350)		better	-		-	-	-	-
1497	TO COMPLAIN	complain	16.99909	to complain	Verb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:complain_(1416804)		to complain	-		-	-	-	-
1498	TO ENTHUSE	enthuse	16.9991	to enthuse	Verb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:enthuse_(1083905)		to enthuse	-	http://www.omegawiki.org/DefinedMeaning:enthuse_(1083894)	-	-	-	-
1500	TO PRAISE	praise	16.99912	to praise	Verb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:eulogize_(1093013)		to praise	-		-	-	-	-
1492	THE EVIL	evil	16.99904	the evil	Noun	Emotions and values	http://www.omegawiki.org/DefinedMeaning:evil_(1098484)		evil	-		-	-	-	-
1499	TO LOOK FORWARD	look forward	16.99911	to look forward	Verb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:look_forward_(1511072)		to look forward	-		-	-	-	-
1493	THE MOOD	mood	16.99905	the mood	Noun	Emotions and values	http://www.omegawiki.org/DefinedMeaning:mood_(1463209)		mood	-		-	-	-	-
1491	THANK YOU!	thank you!	16.99903	thank you!	Function word	Emotions and values	http://www.omegawiki.org/DefinedMeaning:thank_you_(5587)		thank you!	-		-	-	-	-
1494	THE TROUBLE	trouble	16.99906	the trouble	Noun	Emotions and values	http://www.omegawiki.org/DefinedMeaning:trouble_(335952)		trouble	-		-	-	-	-
1490	IN VAIN	in vain	16.99902	in vain	Adverb	Emotions and values	http://www.omegawiki.org/DefinedMeaning:vergebens_(714063)		in vain	-		-	-	-	-
1501	VOLUPTUOUS	voluptuous	16.99913	voluptuous	Adjective	Emotions and values	http://www.omegawiki.org/DefinedMeaning:voluptuous_(994062)		voluptuous	-		-	-	-	-
1502	WILD	wild	16.99914	wild	Adjective	Emotions and values	http://www.omegawiki.org/DefinedMeaning:wild_(8274)		wild	-	http://www.omegawiki.org/DefinedMeaning:wild_(8269), http://www.omegawiki.org/DefinedMeaning:wild_(8268), http://www.omegawiki.org/DefinedMeaning:feroz_(886778)	-	-	-	-
1503	WORSE	worse	16.99915	worse	Adjective	Emotions and values	http://www.omegawiki.org/DefinedMeaning:worse_(1511076)		worse	-		-	-	-	-
